title,price_gbp,price_inr,rating,in_stock,availability,category
Soumission,50.1,5285.55,1,True,In stock,Fiction
Private Paris (Private #10),47.61,5022.855,5,True,In stock,Fiction
"We Love You, Charlie Freeman",50.27,5303.485000000001,5,True,In stock,Fiction
Thirst,17.27,1821.985,5,True,In stock,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,5708.605,3,True,In stock,Fiction
Tuesday Nights in 1980,21.04,2219.72,2,True,In stock,Fiction
The Vacationers,42.15,4446.825,4,True,In stock,Fiction
The Regional Office Is Under Attack!,51.36,5418.48,5,True,In stock,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,5647.415,5,True,In stock,Fiction
The Time Keeper,27.88,2941.3399999999997,5,True,In stock,Fiction
The Testament of Mary,52.67,5556.685,4,True,In stock,Fiction
The First Hostage (J.B. Collins #2),25.85,2727.175,3,True,In stock,Fiction
Take Me with You,45.21,4769.655,3,True,In stock,Fiction
Still Life with Bread Crumbs,26.41,2786.255,3,True,In stock,Fiction
Shtum,55.84,5891.120000000001,4,True,In stock,Fiction
My Name Is Lucy Barton,41.56,4384.58,1,True,In stock,Fiction
My Mrs. Brown,24.48,2582.64,3,True,In stock,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,3048.95,1,True,In stock,Fiction
I Am Pilgrim (Pilgrim #1),10.6,1118.3,4,True,In stock,Fiction
Eligible (The Austen Project #4),27.09,2857.995,3,True,In stock,Fiction
Eight Hundred Grapes,14.39,1518.145,4,True,In stock,Fiction
Dear Mr. Knightley,11.21,1182.6550000000002,5,True,In stock,Fiction
Cometh the Hour (The Clifton Chronicles #6),25.01,2638.5550000000003,3,True,In stock,Fiction
Balloon Animals,17.03,1796.6650000000002,3,True,In stock,Fiction
A Man Called Ove,39.72,4190.46,1,True,In stock,Fiction
The Silent Sister (Riley MacPherson #1),46.29,4883.595,5,True,In stock,Fiction
The Dinner Party,56.54,5964.97,2,True,In stock,Fiction
The Improbability of Love,59.45,6271.975,1,True,In stock,Fiction
Mothering Sunday,13.34,1407.37,2,True,In stock,Fiction
Lies and Other Acts of Love,45.14,4762.27,1,True,In stock,Fiction
Daredevils,16.34,1723.87,3,True,In stock,Fiction
11/22/63,48.48,5114.639999999999,3,True,In stock,Fiction
The Shack,28.03,2957.165,1,True,In stock,Fiction
The High Mountains of Portugal,51.15,5396.325,1,True,In stock,Fiction
Miller's Valley,58.54,6175.97,2,True,In stock,Fiction
Hystopia: A Novel,21.96,2316.78,4,True,In stock,Fiction
The Bourne Identity (Jason Bourne #1),42.78,4513.29,4,True,In stock,Fiction
Sister Dear,40.2,4241.1,4,True,In stock,Fiction
Memoirs of a Geisha,49.67,5240.185,3,True,In stock,Fiction
Me Before You (Me Before You #1),19.02,2006.61,1,True,In stock,Fiction
Deception Point,40.32,4253.76,4,True,In stock,Fiction
The Little Paris Bookshop,24.73,2609.015,3,True,In stock,Fiction
The Firm,45.56,4806.58,3,True,In stock,Fiction
The Expatriates,44.58,4703.19,2,True,In stock,Fiction
Siddhartha,34.22,3610.21,5,True,In stock,Fiction
Last One Home (New Beginnings #1),59.98,6327.889999999999,3,True,In stock,Fiction
Digital Fortress,58.0,6119.0,5,True,In stock,Fiction
Atlas Shrugged,26.58,2804.1899999999996,5,True,In stock,Fiction
Three-Martini Lunch,23.21,2448.655,3,True,In stock,Fiction
The Nightingale,26.26,2770.4300000000003,4,True,In stock,Fiction
The Infinities,27.41,2891.755,1,True,In stock,Fiction
The Husband's Secret,52.51,5539.804999999999,5,True,In stock,Fiction
The Da Vinci Code (Robert Langdon #2),22.96,2422.28,2,True,In stock,Fiction
The Art of Fielding,22.1,2331.55,1,True,In stock,Fiction
